experiment,display_name,label,precision,recall,f1-score,support
random_ce,Random init + CE,Surprise,0.813953488372093,0.7446808510638298,0.7777777777777778,329.0
random_ce,Random init + CE,Fear,0.723404255319149,0.4594594594594595,0.5619834710743802,74.0
random_ce,Random init + CE,Disgust,0.5391304347826087,0.3875,0.4509090909090909,160.0
random_ce,Random init + CE,Happiness,0.8854515050167224,0.8936708860759494,0.8895422091558168,1185.0
random_ce,Random init + CE,Sadness,0.7248908296943232,0.694560669456067,0.7094017094017094,478.0
random_ce,Random init + CE,Anger,0.6463414634146342,0.654320987654321,0.6503067484662577,162.0
random_ce,Random init + CE,Neutral,0.7090216010165185,0.8205882352941176,0.7607361963190185,680.0
pretrained_ce,Pretrained + CE,Surprise,0.8929765886287625,0.8115501519756839,0.8503184713375797,329.0
pretrained_ce,Pretrained + CE,Fear,0.6231884057971014,0.581081081081081,0.6013986013986014,74.0
pretrained_ce,Pretrained + CE,Disgust,0.6225165562913907,0.5875,0.6045016077170418,160.0
pretrained_ce,Pretrained + CE,Happiness,0.957092819614711,0.9223628691983122,0.9394069617533305,1185.0
pretrained_ce,Pretrained + CE,Sadness,0.8266129032258065,0.8577405857740585,0.8418891170431212,478.0
pretrained_ce,Pretrained + CE,Anger,0.8223684210526315,0.7716049382716049,0.7961783439490446,162.0
pretrained_ce,Pretrained + CE,Neutral,0.8023715415019763,0.8955882352941177,0.846421125781793,680.0
random_ce_affinity,Random init + CE + affinity,Surprise,0.7259887005649718,0.7811550151975684,0.7525622254758418,329.0
random_ce_affinity,Random init + CE + affinity,Fear,0.5,0.28378378378378377,0.3620689655172414,74.0
random_ce_affinity,Random init + CE + affinity,Disgust,0.37058823529411766,0.39375,0.38181818181818183,160.0
random_ce_affinity,Random init + CE + affinity,Happiness,0.9037800687285223,0.8877637130801688,0.8957002979991485,1185.0
random_ce_affinity,Random init + CE + affinity,Sadness,0.7008733624454149,0.6715481171548117,0.6858974358974359,478.0
random_ce_affinity,Random init + CE + affinity,Anger,0.6832298136645962,0.6790123456790124,0.6811145510835913,162.0
random_ce_affinity,Random init + CE + affinity,Neutral,0.7357440890125174,0.7779411764705882,0.7562544674767692,680.0
pretrained_ce_affinity,Pretrained + CE + affinity,Surprise,0.8706624605678234,0.8389057750759878,0.8544891640866873,329.0
pretrained_ce_affinity,Pretrained + CE + affinity,Fear,0.6619718309859155,0.6351351351351351,0.6482758620689655,74.0
pretrained_ce_affinity,Pretrained + CE + affinity,Disgust,0.5923566878980892,0.58125,0.5867507886435331,160.0
pretrained_ce_affinity,Pretrained + CE + affinity,Happiness,0.9402985074626866,0.9569620253164557,0.9485570890840652,1185.0
pretrained_ce_affinity,Pretrained + CE + affinity,Sadness,0.8442622950819673,0.8619246861924686,0.8530020703933747,478.0
pretrained_ce_affinity,Pretrained + CE + affinity,Anger,0.8931297709923665,0.7222222222222222,0.7986348122866894,162.0
pretrained_ce_affinity,Pretrained + CE + affinity,Neutral,0.8409742120343839,0.8632352941176471,0.8519593613933236,680.0
